paper_id,query,anchor,relevance,hidden_assumption,deception_surface
R51-130,shortcut learning embodied robot evaluation shortcut,Geirhos et al.,Models can exploit noncausal cues that fail under distribution shift.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-131,interactive evaluation embodied robot evaluation shortcut,Kiela et al.,Evaluation can be adversarially updated after failures.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-132,robot benchmark leakage embodied robot evaluation shortcut,robotics evaluation,"Robots can exploit reset state, fixture layout, or simulator regularities.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-133,sim-to-real shortcut embodied robot evaluation shortcut,robot learning,Policies can pass in simulation while relying on unreal physical cues.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-134,embodied task design embodied robot evaluation shortcut,robot manipulation,Physical probes can reveal whether success came from causal task variables.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-135,adversarial validation embodied robot evaluation shortcut,model auditing,"Stress tests should expose false certification, not only average score.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-136,counterfactual tasks embodied robot evaluation shortcut,causal evaluation,Changing noncausal cues can separate robust competence from shortcut use.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-137,dataset bias embodied robot evaluation shortcut,Torralba and Efros,Static benchmarks can reward dataset artifacts.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-138,shortcut learning embodied robot evaluation shortcut,Geirhos et al.,Models can exploit noncausal cues that fail under distribution shift.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-139,interactive evaluation embodied robot evaluation shortcut,Kiela et al.,Evaluation can be adversarially updated after failures.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-140,robot benchmark leakage embodied robot evaluation shortcut,robotics evaluation,"Robots can exploit reset state, fixture layout, or simulator regularities.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-141,sim-to-real shortcut embodied robot evaluation shortcut,robot learning,Policies can pass in simulation while relying on unreal physical cues.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-142,embodied task design embodied robot evaluation shortcut,robot manipulation,Physical probes can reveal whether success came from causal task variables.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-143,adversarial validation embodied robot evaluation shortcut,model auditing,"Stress tests should expose false certification, not only average score.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-144,counterfactual tasks embodied robot evaluation shortcut,causal evaluation,Changing noncausal cues can separate robust competence from shortcut use.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-145,dataset bias embodied robot evaluation shortcut,Torralba and Efros,Static benchmarks can reward dataset artifacts.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-146,shortcut learning embodied robot evaluation shortcut,Geirhos et al.,Models can exploit noncausal cues that fail under distribution shift.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-147,interactive evaluation embodied robot evaluation shortcut,Kiela et al.,Evaluation can be adversarially updated after failures.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-148,robot benchmark leakage embodied robot evaluation shortcut,robotics evaluation,"Robots can exploit reset state, fixture layout, or simulator regularities.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-149,sim-to-real shortcut embodied robot evaluation shortcut,robot learning,Policies can pass in simulation while relying on unreal physical cues.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-150,embodied task design embodied robot evaluation shortcut,robot manipulation,Physical probes can reveal whether success came from causal task variables.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-151,adversarial validation embodied robot evaluation shortcut,model auditing,"Stress tests should expose false certification, not only average score.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-152,counterfactual tasks embodied robot evaluation shortcut,causal evaluation,Changing noncausal cues can separate robust competence from shortcut use.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-153,dataset bias embodied robot evaluation shortcut,Torralba and Efros,Static benchmarks can reward dataset artifacts.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-154,shortcut learning embodied robot evaluation shortcut,Geirhos et al.,Models can exploit noncausal cues that fail under distribution shift.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-155,interactive evaluation embodied robot evaluation shortcut,Kiela et al.,Evaluation can be adversarially updated after failures.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-156,robot benchmark leakage embodied robot evaluation shortcut,robotics evaluation,"Robots can exploit reset state, fixture layout, or simulator regularities.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-157,sim-to-real shortcut embodied robot evaluation shortcut,robot learning,Policies can pass in simulation while relying on unreal physical cues.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-158,embodied task design embodied robot evaluation shortcut,robot manipulation,Physical probes can reveal whether success came from causal task variables.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-159,adversarial validation embodied robot evaluation shortcut,model auditing,"Stress tests should expose false certification, not only average score.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-160,counterfactual tasks embodied robot evaluation shortcut,causal evaluation,Changing noncausal cues can separate robust competence from shortcut use.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-161,dataset bias embodied robot evaluation shortcut,Torralba and Efros,Static benchmarks can reward dataset artifacts.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-162,shortcut learning embodied robot evaluation shortcut,Geirhos et al.,Models can exploit noncausal cues that fail under distribution shift.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-163,interactive evaluation embodied robot evaluation shortcut,Kiela et al.,Evaluation can be adversarially updated after failures.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-164,robot benchmark leakage embodied robot evaluation shortcut,robotics evaluation,"Robots can exploit reset state, fixture layout, or simulator regularities.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-165,sim-to-real shortcut embodied robot evaluation shortcut,robot learning,Policies can pass in simulation while relying on unreal physical cues.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-166,embodied task design embodied robot evaluation shortcut,robot manipulation,Physical probes can reveal whether success came from causal task variables.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-167,adversarial validation embodied robot evaluation shortcut,model auditing,"Stress tests should expose false certification, not only average score.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-168,counterfactual tasks embodied robot evaluation shortcut,causal evaluation,Changing noncausal cues can separate robust competence from shortcut use.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-169,dataset bias embodied robot evaluation shortcut,Torralba and Efros,Static benchmarks can reward dataset artifacts.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-170,shortcut learning embodied robot evaluation shortcut,Geirhos et al.,Models can exploit noncausal cues that fail under distribution shift.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-171,interactive evaluation embodied robot evaluation shortcut,Kiela et al.,Evaluation can be adversarially updated after failures.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-172,robot benchmark leakage embodied robot evaluation shortcut,robotics evaluation,"Robots can exploit reset state, fixture layout, or simulator regularities.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-173,sim-to-real shortcut embodied robot evaluation shortcut,robot learning,Policies can pass in simulation while relying on unreal physical cues.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-174,embodied task design embodied robot evaluation shortcut,robot manipulation,Physical probes can reveal whether success came from causal task variables.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-175,adversarial validation embodied robot evaluation shortcut,model auditing,"Stress tests should expose false certification, not only average score.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-176,counterfactual tasks embodied robot evaluation shortcut,causal evaluation,Changing noncausal cues can separate robust competence from shortcut use.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-177,dataset bias embodied robot evaluation shortcut,Torralba and Efros,Static benchmarks can reward dataset artifacts.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-178,shortcut learning embodied robot evaluation shortcut,Geirhos et al.,Models can exploit noncausal cues that fail under distribution shift.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-179,interactive evaluation embodied robot evaluation shortcut,Kiela et al.,Evaluation can be adversarially updated after failures.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-180,robot benchmark leakage embodied robot evaluation shortcut,robotics evaluation,"Robots can exploit reset state, fixture layout, or simulator regularities.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-181,sim-to-real shortcut embodied robot evaluation shortcut,robot learning,Policies can pass in simulation while relying on unreal physical cues.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-182,embodied task design embodied robot evaluation shortcut,robot manipulation,Physical probes can reveal whether success came from causal task variables.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-183,adversarial validation embodied robot evaluation shortcut,model auditing,"Stress tests should expose false certification, not only average score.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-184,counterfactual tasks embodied robot evaluation shortcut,causal evaluation,Changing noncausal cues can separate robust competence from shortcut use.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-185,dataset bias embodied robot evaluation shortcut,Torralba and Efros,Static benchmarks can reward dataset artifacts.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-186,shortcut learning embodied robot evaluation shortcut,Geirhos et al.,Models can exploit noncausal cues that fail under distribution shift.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-187,interactive evaluation embodied robot evaluation shortcut,Kiela et al.,Evaluation can be adversarially updated after failures.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-188,robot benchmark leakage embodied robot evaluation shortcut,robotics evaluation,"Robots can exploit reset state, fixture layout, or simulator regularities.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-189,sim-to-real shortcut embodied robot evaluation shortcut,robot learning,Policies can pass in simulation while relying on unreal physical cues.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-190,embodied task design embodied robot evaluation shortcut,robot manipulation,Physical probes can reveal whether success came from causal task variables.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-191,adversarial validation embodied robot evaluation shortcut,model auditing,"Stress tests should expose false certification, not only average score.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-192,counterfactual tasks embodied robot evaluation shortcut,causal evaluation,Changing noncausal cues can separate robust competence from shortcut use.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-193,dataset bias embodied robot evaluation shortcut,Torralba and Efros,Static benchmarks can reward dataset artifacts.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-194,shortcut learning embodied robot evaluation shortcut,Geirhos et al.,Models can exploit noncausal cues that fail under distribution shift.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-195,interactive evaluation embodied robot evaluation shortcut,Kiela et al.,Evaluation can be adversarially updated after failures.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-196,robot benchmark leakage embodied robot evaluation shortcut,robotics evaluation,"Robots can exploit reset state, fixture layout, or simulator regularities.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-197,sim-to-real shortcut embodied robot evaluation shortcut,robot learning,Policies can pass in simulation while relying on unreal physical cues.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-198,embodied task design embodied robot evaluation shortcut,robot manipulation,Physical probes can reveal whether success came from causal task variables.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-199,adversarial validation embodied robot evaluation shortcut,model auditing,"Stress tests should expose false certification, not only average score.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-200,counterfactual tasks embodied robot evaluation shortcut,causal evaluation,Changing noncausal cues can separate robust competence from shortcut use.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-201,dataset bias embodied robot evaluation shortcut,Torralba and Efros,Static benchmarks can reward dataset artifacts.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-202,shortcut learning embodied robot evaluation shortcut,Geirhos et al.,Models can exploit noncausal cues that fail under distribution shift.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-203,interactive evaluation embodied robot evaluation shortcut,Kiela et al.,Evaluation can be adversarially updated after failures.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-204,robot benchmark leakage embodied robot evaluation shortcut,robotics evaluation,"Robots can exploit reset state, fixture layout, or simulator regularities.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-205,sim-to-real shortcut embodied robot evaluation shortcut,robot learning,Policies can pass in simulation while relying on unreal physical cues.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-206,embodied task design embodied robot evaluation shortcut,robot manipulation,Physical probes can reveal whether success came from causal task variables.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-207,adversarial validation embodied robot evaluation shortcut,model auditing,"Stress tests should expose false certification, not only average score.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-208,counterfactual tasks embodied robot evaluation shortcut,causal evaluation,Changing noncausal cues can separate robust competence from shortcut use.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-209,dataset bias embodied robot evaluation shortcut,Torralba and Efros,Static benchmarks can reward dataset artifacts.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-210,shortcut learning embodied robot evaluation shortcut,Geirhos et al.,Models can exploit noncausal cues that fail under distribution shift.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-211,interactive evaluation embodied robot evaluation shortcut,Kiela et al.,Evaluation can be adversarially updated after failures.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-212,robot benchmark leakage embodied robot evaluation shortcut,robotics evaluation,"Robots can exploit reset state, fixture layout, or simulator regularities.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-213,sim-to-real shortcut embodied robot evaluation shortcut,robot learning,Policies can pass in simulation while relying on unreal physical cues.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-214,embodied task design embodied robot evaluation shortcut,robot manipulation,Physical probes can reveal whether success came from causal task variables.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-215,adversarial validation embodied robot evaluation shortcut,model auditing,"Stress tests should expose false certification, not only average score.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-216,counterfactual tasks embodied robot evaluation shortcut,causal evaluation,Changing noncausal cues can separate robust competence from shortcut use.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-217,dataset bias embodied robot evaluation shortcut,Torralba and Efros,Static benchmarks can reward dataset artifacts.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-218,shortcut learning embodied robot evaluation shortcut,Geirhos et al.,Models can exploit noncausal cues that fail under distribution shift.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-219,interactive evaluation embodied robot evaluation shortcut,Kiela et al.,Evaluation can be adversarially updated after failures.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-220,robot benchmark leakage embodied robot evaluation shortcut,robotics evaluation,"Robots can exploit reset state, fixture layout, or simulator regularities.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-221,sim-to-real shortcut embodied robot evaluation shortcut,robot learning,Policies can pass in simulation while relying on unreal physical cues.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-222,embodied task design embodied robot evaluation shortcut,robot manipulation,Physical probes can reveal whether success came from causal task variables.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-223,adversarial validation embodied robot evaluation shortcut,model auditing,"Stress tests should expose false certification, not only average score.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-224,counterfactual tasks embodied robot evaluation shortcut,causal evaluation,Changing noncausal cues can separate robust competence from shortcut use.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-225,dataset bias embodied robot evaluation shortcut,Torralba and Efros,Static benchmarks can reward dataset artifacts.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-226,shortcut learning embodied robot evaluation shortcut,Geirhos et al.,Models can exploit noncausal cues that fail under distribution shift.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-227,interactive evaluation embodied robot evaluation shortcut,Kiela et al.,Evaluation can be adversarially updated after failures.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-228,robot benchmark leakage embodied robot evaluation shortcut,robotics evaluation,"Robots can exploit reset state, fixture layout, or simulator regularities.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-229,sim-to-real shortcut embodied robot evaluation shortcut,robot learning,Policies can pass in simulation while relying on unreal physical cues.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-230,embodied task design embodied robot evaluation shortcut,robot manipulation,Physical probes can reveal whether success came from causal task variables.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-231,adversarial validation embodied robot evaluation shortcut,model auditing,"Stress tests should expose false certification, not only average score.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-232,counterfactual tasks embodied robot evaluation shortcut,causal evaluation,Changing noncausal cues can separate robust competence from shortcut use.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-233,dataset bias embodied robot evaluation shortcut,Torralba and Efros,Static benchmarks can reward dataset artifacts.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-234,shortcut learning embodied robot evaluation shortcut,Geirhos et al.,Models can exploit noncausal cues that fail under distribution shift.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-235,interactive evaluation embodied robot evaluation shortcut,Kiela et al.,Evaluation can be adversarially updated after failures.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-236,robot benchmark leakage embodied robot evaluation shortcut,robotics evaluation,"Robots can exploit reset state, fixture layout, or simulator regularities.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-237,sim-to-real shortcut embodied robot evaluation shortcut,robot learning,Policies can pass in simulation while relying on unreal physical cues.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-238,embodied task design embodied robot evaluation shortcut,robot manipulation,Physical probes can reveal whether success came from causal task variables.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-239,adversarial validation embodied robot evaluation shortcut,model auditing,"Stress tests should expose false certification, not only average score.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-240,counterfactual tasks embodied robot evaluation shortcut,causal evaluation,Changing noncausal cues can separate robust competence from shortcut use.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-241,dataset bias embodied robot evaluation shortcut,Torralba and Efros,Static benchmarks can reward dataset artifacts.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-242,shortcut learning embodied robot evaluation shortcut,Geirhos et al.,Models can exploit noncausal cues that fail under distribution shift.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-243,interactive evaluation embodied robot evaluation shortcut,Kiela et al.,Evaluation can be adversarially updated after failures.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-244,robot benchmark leakage embodied robot evaluation shortcut,robotics evaluation,"Robots can exploit reset state, fixture layout, or simulator regularities.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-245,sim-to-real shortcut embodied robot evaluation shortcut,robot learning,Policies can pass in simulation while relying on unreal physical cues.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-246,embodied task design embodied robot evaluation shortcut,robot manipulation,Physical probes can reveal whether success came from causal task variables.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-247,adversarial validation embodied robot evaluation shortcut,model auditing,"Stress tests should expose false certification, not only average score.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-248,counterfactual tasks embodied robot evaluation shortcut,causal evaluation,Changing noncausal cues can separate robust competence from shortcut use.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-249,dataset bias embodied robot evaluation shortcut,Torralba and Efros,Static benchmarks can reward dataset artifacts.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-250,shortcut learning embodied robot evaluation shortcut,Geirhos et al.,Models can exploit noncausal cues that fail under distribution shift.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-251,interactive evaluation embodied robot evaluation shortcut,Kiela et al.,Evaluation can be adversarially updated after failures.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-252,robot benchmark leakage embodied robot evaluation shortcut,robotics evaluation,"Robots can exploit reset state, fixture layout, or simulator regularities.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-253,sim-to-real shortcut embodied robot evaluation shortcut,robot learning,Policies can pass in simulation while relying on unreal physical cues.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-254,embodied task design embodied robot evaluation shortcut,robot manipulation,Physical probes can reveal whether success came from causal task variables.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-255,adversarial validation embodied robot evaluation shortcut,model auditing,"Stress tests should expose false certification, not only average score.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-256,counterfactual tasks embodied robot evaluation shortcut,causal evaluation,Changing noncausal cues can separate robust competence from shortcut use.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-257,dataset bias embodied robot evaluation shortcut,Torralba and Efros,Static benchmarks can reward dataset artifacts.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-258,shortcut learning embodied robot evaluation shortcut,Geirhos et al.,Models can exploit noncausal cues that fail under distribution shift.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-259,interactive evaluation embodied robot evaluation shortcut,Kiela et al.,Evaluation can be adversarially updated after failures.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-260,robot benchmark leakage embodied robot evaluation shortcut,robotics evaluation,"Robots can exploit reset state, fixture layout, or simulator regularities.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
